epoch,accuracy,loss,mean_squared_error,val_accuracy,val_loss,val_mean_squared_error
0,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
1,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
2,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
3,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
4,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
5,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
6,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
7,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
8,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
9,0.021934477612376213,1.2845255136489868,0.9783641695976257,0.03824794292449951,1.2704476118087769,0.9632643461227417
