epoch,accuracy,loss,mean_squared_error,val_accuracy,val_loss,val_mean_squared_error
0,0.06687066704034805,0.0409199558198452,0.0409199558198452,0.0,0.042653825134038925,0.042653825134038925
1,0.0,0.040092017501592636,0.040092017501592636,0.0,0.04255225136876106,0.04255225136876106
2,0.0,0.03929217532277107,0.039292167872190475,0.0,0.042617738246917725,0.042617738246917725
3,0.0,0.03866551071405411,0.038665514439344406,0.0,0.04287777841091156,0.04287777841091156
4,0.0,0.038121048361063004,0.038121048361063004,0.0,0.043237511068582535,0.043237511068582535
5,0.0,0.03774690255522728,0.03774689882993698,0.0,0.043644730001688004,0.043644730001688004
6,0.0,0.03737945482134819,0.03737945109605789,0.0,0.04374260827898979,0.04374260827898979
7,0.0,0.03712223842740059,0.03712223470211029,0.0,0.0437195785343647,0.0437195785343647
8,0.0,0.03686429560184479,0.036864299327135086,0.0,0.04357201233506203,0.04357201233506203
9,0.0,0.03661397099494934,0.03661397099494934,0.0,0.04342995584011078,0.04342995584011078
