epoch,accuracy,loss,mean_squared_error,val_accuracy,val_loss,val_mean_squared_error
0,0.07274578511714935,0.0,0.038121480494737625,0.0,0.0,0.040051378309726715
1,0.0,0.0,0.038745515048503876,0.0,0.0,0.04077067971229553
2,0.0,0.0,0.039294883608818054,0.0,0.0,0.04144410043954849
3,0.0,0.0,0.039819564670324326,0.0,0.0,0.042078979313373566
4,0.0,0.0,0.04036801680922508,0.0,0.0,0.0426749624311924
5,0.0,0.0,0.04080896079540253,0.0,0.0,0.043241921812295914
6,0.0,0.0,0.04127536341547966,0.0,0.0,0.043797872960567474
7,0.0,0.0,0.041724104434251785,0.0,0.0,0.04434503987431526
8,0.0,0.0,0.04215943068265915,0.0,0.0,0.04488213732838631
9,0.0,0.0,0.04260440170764923,0.0,0.0,0.04542981833219528
