# id,snap_id,uid,x,y,z,x_pixel,y_pixel,i_sector,M500_msolh,r500_kpch,gas_frac,star_frac,T_kev,Lx_ergs,Y500c,M_sat_M_cD,cshift,vx,vy,vz 
871561,27,590,304252.66,346528.22,74057.922,14161,254,3,6.6154e+13,518.312,0.0761917,0.0315878,1.78092,0.205435,4.9774908,0.0601325,0.0246901,-298.392,-115.009,-226.696 
871638,27,667,213107.81,196570.55,141875.92,9919,7234,6,6.61778e+13,518.393,0.0839403,0.0319538,1.6518,0.242478,5.0863503,0.222182,0.0726173,-142.613,129.882,208.866 
871470,27,499,223763.88,155994.19,193356.05,10415,9123,10,6.62587e+13,518.594,0.0775293,0.0325076,1.71639,0.15654,4.8837673,0.104798,0.0321316,74.3002,241.569,-157.462 
871413,27,442,128755.83,302696.03,22899.645,5992,2294,1,6.64832e+13,519.188,0.0669358,0.0318988,1.70879,0.133614,4.2023826,0.36611,0.0385795,111.988,-281.696,283.918 
871701,27,730,229177.25,187466.78,161712.44,10667,7658,6,6.6524e+13,519.292,0.0703572,0.0341675,1.81361,0.152949,4.6891322,0.105233,0.0313944,-172.338,361.203,-32.9956 
871713,27,742,348383.22,49665.254,268145.03,16215,14072,15,6.65393e+13,519.337,0.0658601,0.0347207,1.74238,0.129622,4.2172612,0.0914419,0.0503612,-444.067,-501.343,-522.418 
871650,27,679,152468.81,17359.797,203823.0,7096,15575,13,6.66566e+13,519.639,0.0851122,0.0321673,1.73497,0.248206,5.4301225,0.109422,0.0235097,688.825,-189.923,48.5715 
871643,27,672,262058.53,70442.555,231604.66,12197,13105,14,6.6759e+13,519.91,0.0792046,0.0283019,1.78887,0.220774,5.212753,0.204661,0.060456,175.485,-67.9842,179.218 
871519,27,548,263793.31,15351.928,130569.58,12278,15669,14,6.68109e+13,520.034,0.0667614,0.0343785,1.80583,0.127567,4.4368073,0.119159,0.0670028,-349.666,-17.8721,80.5601 
871734,27,763,176831.19,2295.7722,191512.28,8230,16277,14,6.69083e+13,520.286,0.0709312,0.0301897,1.65096,0.16673,4.311768,0.220222,0.0853297,440.761,-60.4703,31.9396 
871437,27,466,202387.78,145448.86,308861.16,9420,9614,10,6.69933e+13,520.51,0.095265,0.0291497,1.48501,0.248434,5.210991,0.299855,0.0942472,-144.8,675.225,236.124 
871585,27,614,209233.11,263545.19,186808.5,9738,4117,6,6.70157e+13,520.577,0.0800134,0.0274459,1.76753,0.189289,5.2098133,0.0777516,0.0295862,802.691,-4.50688,75.7461 
871693,27,722,284637.06,265302.31,3844.0593,13248,4035,3,6.72558e+13,521.178,0.081337,0.0294593,1.71814,0.238277,5.1545181,0.0847472,0.0197544,129.844,-278.361,-351.519 
871296,27,325,250585.41,277572.84,313376.59,11663,3464,2,6.73184e+13,521.353,0.0894473,0.0272789,1.829,0.217985,6.0358172,0.24142,0.0265748,-28.3632,-148.635,118.216 
871641,27,670,293247.38,139194.44,108996.23,13649,9905,11,6.73592e+13,521.462,0.0743745,0.0321677,1.85875,0.237706,5.1013049,0.153103,0.0670833,102.474,148.507,235.245 
871710,27,739,164060.73,152735.72,206485.19,7636,9274,9,6.73665e+13,521.473,0.070123,0.0295811,1.73746,0.155498,4.4961341,0.0287047,0.00473058,147.292,198.635,-11.8231 
871466,27,495,181211.61,153278.33,49153.188,8434,9249,10,6.73893e+13,521.522,0.0866159,0.031296,1.76386,0.223015,5.6388799,0.23025,0.0341076,49.5682,441.327,-19.1146 
871408,27,437,208390.39,282144.03,53439.914,9699,3251,2,6.76658e+13,522.236,0.0923989,0.0281495,1.55018,0.285737,5.293834,0.169252,0.0762752,354.301,-151.458,-157.512 
