epoch,accuracy,loss,val_accuracy,val_loss
0,0.465753436088562,0.6944409012794495,0.4736842215061188,0.6933673620223999
1,0.5068492889404297,0.6950480937957764,0.4736842215061188,0.6937727928161621
2,0.5068492889404297,0.6933813095092773,0.4736842215061188,0.6936181783676147
3,0.39726027846336365,0.6941781640052795,0.4736842215061188,0.6933217644691467
4,0.5068492889404297,0.693509042263031,0.4736842215061188,0.6936398148536682
5,0.5068492889404297,0.6938381195068359,0.4736842215061188,0.6936571598052979
6,0.5068492889404297,0.6930812001228333,0.4736842215061188,0.6938866376876831
7,0.5068492889404297,0.6941474080085754,0.4736842215061188,0.693922221660614
8,0.5068492889404297,0.6936741471290588,0.4736842215061188,0.6937041282653809
9,0.5068492889404297,0.6934936046600342,0.4736842215061188,0.6942722201347351
