epoch,accuracy,loss,mean_squared_error,val_accuracy,val_loss,val_mean_squared_error
0,0.17044833302497864,0.04760636389255524,0.04760636389255524,0.048512399196624756,0.041511617600917816,0.041511617600917816
1,0.043882183730602264,0.04612257331609726,0.04612256959080696,0.032791703939437866,0.04090570658445358,0.04090570658445358
2,0.03140614554286003,0.04512631893157959,0.04512631893157959,0.025747792795300484,0.04033665359020233,0.04033665359020233
3,0.024780021980404854,0.04399989917874336,0.04399989917874336,0.021292980760335922,0.03984483703970909,0.03984483703970909
4,0.020442591980099678,0.04315676540136337,0.04315676540136337,0.018164364621043205,0.039384033530950546,0.039384033530950546
5,0.017578627914190292,0.04227522015571594,0.04227522388100624,0.015945998951792717,0.03899648040533066,0.03899648040533066
6,0.015300232917070389,0.04150720685720444,0.04150720685720444,0.014065966010093689,0.03864876925945282,0.03864876925945282
7,0.01345779187977314,0.04084731265902519,0.04084731265902519,0.012613932602107525,0.03834456950426102,0.03834456950426102
8,0.012056495063006878,0.040329355746507645,0.040329355746507645,0.011290750466287136,0.038055580109357834,0.038055580109357834
9,0.010650090873241425,0.039689164608716965,0.039689164608716965,0.009889955632388592,0.03778333589434624,0.03778333589434624
