epoch,accuracy,loss,val_accuracy,val_loss
0,0.5500333309173584,0.6827952265739441,0.9200000166893005,0.2857189476490021
1,0.9759839773178101,0.09535689651966095,0.9986666440963745,0.021523108705878258
2,0.9849900007247925,0.06668221950531006,0.9986666440963745,0.009903502650558949
3,0.9759839773178101,0.100133016705513,0.9760000109672546,0.08779707551002502
4,0.9889926910400391,0.05261022970080376,0.9973333477973938,0.009472799487411976
5,0.9903268814086914,0.048621438443660736,0.9933333396911621,0.04768454656004906
6,0.987991988658905,0.05583254620432854,0.9933333396911621,0.039778050035238266
7,0.9856570959091187,0.0631365031003952,0.9973333477973938,0.013457033783197403
8,0.9899933338165283,0.04555533453822136,0.9986666440963745,0.011952758766710758
9,0.9839892983436584,0.07389400899410248,0.9946666955947876,0.04096269607543945
10,0.9876584410667419,0.061505526304244995,0.9973333477973938,0.015567896887660027
11,0.9819880127906799,0.09211798012256622,0.9973333477973938,0.010604449547827244
12,0.9896597862243652,0.04531518742442131,0.9973333477973938,0.01421326957643032
13,0.9899933338165283,0.0443786084651947,0.9973333477973938,0.01321343146264553
14,0.9909939765930176,0.04216039925813675,0.9986666440963745,0.015179644338786602
15,0.9883255362510681,0.050121843814849854,0.9973333477973938,0.014005246572196484
16,0.9889926910400391,0.054260630160570145,0.9973333477973938,0.015918197110295296
17,0.9719813466072083,0.1297796219587326,0.9986666440963745,0.008918240666389465
18,0.9876584410667419,0.05879015848040581,0.9986666440963745,0.01576993055641651
19,0.9853235483169556,0.06003335863351822,0.9973333477973938,0.011691956780850887
20,0.9896597862243652,0.042600054293870926,0.9973333477973938,0.01501618605107069
21,0.9916611313819885,0.03840265050530434,0.9986666440963745,0.01214268896728754
22,0.9893262386322021,0.043746743351221085,0.9986666440963745,0.014169609174132347
23,0.9856570959091187,0.05781835690140724,0.9906666874885559,0.04887174814939499
24,0.9889926910400391,0.04304305836558342,0.9986666440963745,0.01084095612168312
25,0.9893262386322021,0.04087860509753227,0.9973333477973938,0.022075943648815155
26,0.9909939765930176,0.03942226618528366,0.9946666955947876,0.021183807402849197
27,0.9903268814086914,0.04659117013216019,0.9986666440963745,0.010549294762313366
28,0.9889926910400391,0.0517754890024662,0.9933333396911621,0.029522601515054703
