epoch,accuracy,loss,mean_squared_error,val_accuracy,val_loss,val_mean_squared_error
0,0.8356406092643738,0.6890565156936646,0.08361255377531052,0.9569664597511292,0.6883651614189148,0.05591818317770958
1,0.9421184659004211,0.682641327381134,0.501571536064148,0.9646304845809937,0.686280369758606,0.19697360694408417
2,0.9463438987731934,0.6792406439781189,1.4249358177185059,0.9684945344924927,0.6847296357154846,0.5301059484481812
3,0.9534117579460144,0.6759723424911499,3.330432415008545,0.9671351909637451,0.6839479207992554,1.3823174238204956
4,0.9514164924621582,0.6735437512397766,8.02724838256836,0.9765368700027466,0.6828227043151855,1.706085443496704
5,0.9588889479637146,0.6709200739860535,11.92774486541748,0.9655836820602417,0.6831424236297607,5.083250045776367
6,0.9530305862426758,0.6665282249450684,25.597267150878906,0.976830780506134,0.6796254515647888,5.712091445922852
7,0.9593675136566162,0.6621496081352234,34.880775451660156,0.9666650295257568,0.679682731628418,17.345396041870117
8,0.9571750164031982,0.652495265007019,77.9456787109375,0.9733788967132568,0.6725183129310608,27.517427444458008
9,0.9521430730819702,0.6369136571884155,174.78399658203125,0.9752137064933777,0.6648475527763367,71.74063873291016
