epoch,accuracy,loss,val_accuracy,val_loss
0,0.4444444477558136,0.6945709586143494,0.5,0.6931865215301514
1,0.5,0.6938794851303101,0.5,0.6931482553482056
2,0.5,0.6932217478752136,0.5,0.6931503415107727
3,0.5,0.6932944059371948,0.5,0.693148136138916
4,0.5,0.6932394504547119,0.5,0.6931498050689697
5,0.5,0.6932973265647888,0.5,0.693151593208313
6,0.5,0.6933196187019348,0.5,0.6931523680686951
7,0.5,0.693346381187439,0.5,0.6931475400924683
8,0.5,0.6932494640350342,0.5,0.6931494474411011
9,0.5,0.6932054162025452,0.5,0.6931480169296265
