epoch,accuracy,loss,val_accuracy,val_loss
0,0.5,0.6948869228363037,0.5,0.6932119131088257
1,0.4166666567325592,0.6951289176940918,0.5,0.6931520700454712
2,0.5,0.6954737305641174,0.5,0.6933067440986633
3,0.5,0.6933186054229736,0.5,0.6932256817817688
4,0.5,0.6938119530677795,0.5,0.6931999325752258
5,0.5,0.6938287615776062,0.5,0.6931480169296265
6,0.5,0.6939120292663574,0.5,0.6931838989257812
7,0.5,0.6934349536895752,0.5,0.6931509971618652
8,0.5,0.6934708952903748,0.5,0.6931512951850891
9,0.4166666567325592,0.6934611797332764,0.5,0.6931473016738892
